city|salary_text|min|max|avg
宁波|800元/天|800.0|800.0|800.0
北京|60-80万/年|600.0|800.0|700.0
福州|40-80万/年|400.0|800.0|600.0
宁波|600元/天|600.0|600.0|600.0
南京|500元/天|500.0|500.0|500.0
青岛|480元/天|480.0|480.0|480.0
重庆|30-60万/年|300.0|600.0|450.0
合肥|25-50万/年|250.0|500.0|375.0
福州|30-45万/年|300.0|450.0|375.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
福州|20-40万/年|200.0|400.0|300.0
杭州|300元/天|300.0|300.0|300.0
成都|20-40万/年|200.0|400.0|300.0
成都|20-40万/年|200.0|400.0|300.0
重庆|20-40万/年|200.0|400.0|300.0
重庆|20-40万/年|200.0|400.0|300.0
无锡|25-30万/年|250.0|300.0|275.0
无锡|25-30万/年|250.0|300.0|275.0
青岛|20-35万/年|200.0|350.0|275.0
杭州|20-35万/年|200.0|350.0|275.0
福州|20-30万/年|200.0|300.0|250.0
南京|20-30万/年|200.0|300.0|250.0
苏州|250元/天|250.0|250.0|250.0
深圳|20-30万/年|200.0|300.0|250.0
成都|18-30万/年|180.0|300.0|240.0
北京|18-30万/年|180.0|300.0|240.0
合肥|15-30万/年|150.0|300.0|225.0
合肥|15-30万/年|150.0|300.0|225.0
福州|15-30万/年|150.0|300.0|225.0
郑州|20-25万/年|200.0|250.0|225.0
无锡|15-30万/年|150.0|300.0|225.0
宁波|15-30万/年|150.0|300.0|225.0
宁波|15-30万/年|150.0|300.0|225.0
苏州|15-30万/年|150.0|300.0|225.0
广州|15-29万/年|150.0|290.0|220.0
广州|15-29万/年|150.0|290.0|220.0
青岛|21-22万/年|210.0|220.0|215.0
青岛|21-22万/年|210.0|220.0|215.0
宁波|18-25万/年|180.0|250.0|215.0
宁波|18-25万/年|180.0|250.0|215.0
上海|18-25万/年|180.0|250.0|215.0
上海|20-22万/年|200.0|220.0|210.0
武汉|15-25万/年|150.0|250.0|200.0
北京|200元/天|200.0|200.0|200.0
上海|15-25万/年|150.0|250.0|200.0
成都|15-24万/年|150.0|240.0|195.0
重庆|18-20万/年|180.0|200.0|190.0
武汉|16-20万/年|160.0|200.0|180.0
长沙|15-20万/年|150.0|200.0|175.0
无锡|15-20万/年|150.0|200.0|175.0
宁波|15-20万/年|150.0|200.0|175.0
宁波|15-20万/年|150.0|200.0|175.0
宁波|15-20万/年|150.0|200.0|175.0
南京|15-20万/年|150.0|200.0|175.0
武汉|15-20万/年|150.0|200.0|175.0
成都|15-20万/年|150.0|200.0|175.0
宁波|12-20万/年|120.0|200.0|160.0
宁波|12-20万/年|120.0|200.0|160.0
武汉|12-20万/年|120.0|200.0|160.0
杭州|12-20万/年|120.0|200.0|160.0
杭州|12-20万/年|120.0|200.0|160.0
福州|10-20万/年|100.0|200.0|150.0
无锡|10-20万/年|100.0|200.0|150.0
宁波|10-20万/年|100.0|200.0|150.0
重庆|10-20万/年|100.0|200.0|150.0
深圳|12-18万/年|120.0|180.0|150.0
北京|10-20万/年|100.0|200.0|150.0
杭州|13-16万/年|130.0|160.0|145.0
无锡|13-15万/年|130.0|150.0|140.0
宁波|12-16万/年|120.0|160.0|140.0
天津|10-16万/年|100.0|160.0|130.0
北京|10-15万/年|100.0|150.0|125.0
南京|8-15万/年|80.0|150.0|115.0
郑州|10-12万/年|100.0|120.0|110.0
郑州|10-12万/年|100.0|120.0|110.0
